보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
중동 117,1,,경기도 부천시 850-11호골목입구전주 철로변,,,,한전주,032-625-5513,경기도 부천시청,2020-10-22
신흥1062,1,,경기도 부천시 soehd 140-3,,,2013,한전주,032-625-7236,경기도 부천시청,2020-10-22
게수동 15-26 (15-22 앞),1,,경기도 부천시 게수동 15-26 (15-22 앞),,,1987,,032-625-6528,경기도 부천시청,2020-10-22
게수동 28-17 앞,1,,경기도 부천시 게수동 28-17 앞,,,2007,,032-625-6543,경기도 부천시청,2020-10-22
약대동 119,1,경기도 부천시 수도로74번길 7,경기도 부천시 경기도 부천시 도당동 214-3 앞 (214-8건너편 코너 위치),37.5145241,126.7745146,,한전주,032-625-5675,경기도 부천시청,2020-10-22
경기도 부천시 소사구 괴안동 111-37,1,경기도 부천시 경인로483번길 13,경기도 부천시 경기도 부천시 소사구 괴안동 111-37,37.48376301,126.8088069,2014,,032-625-6630,경기도 부천시청,2020-10-22
경기도 부천시 소사구 괴안동 116-12,1,경기도 부천시 부광로22번길 26,경기도 부천시 경기도 부천시 소사구 괴안동 116-12,37.48234845,126.8121889,2013,,032-625-7111,경기도 부천시청,2020-10-22
경기도 부천시 소사구 괴안동 200-4,1,경기도 부천시 경인로597번길 23,경기도 부천시 경기도 부천시 소사구 괴안동 200-4,37.4889632,126.820006,2013,,032-625-6969,경기도 부천시청,2020-10-22
경기도 부천시 소사구 괴안동 203,1,경기도 부천시 경인로577번가길 54,경기도 부천시 경기도 부천시 소사구 괴안동 203,,,2013,,032-625-7112,경기도 부천시청,2020-10-22
경기도 부천시 소사구 괴안동 96-22,1,경기도 부천시 안곡로86번길 38,경기도 부천시 경기도 부천시 소사구 괴안동 96-22,37.47758798,126.8102221,2014,,032-625-6631,경기도 부천시청,2020-10-22
소사본3동-062,1,경기도 부천시 소삼로30번길 37,경기도 부천시 경기도 부천시 소사구 소사본3동 154-14,37.47685932,126.7963055,2014,,032-625-6262,경기도 부천시청,2020-10-22
소사본3동-026,1,경기도 부천시 소사로202번길 43-11,경기도 부천시 경기도 부천시 소사구 소사본3동 156-17,,,2013,,032-625-6262,경기도 부천시청,2020-10-22
소사본1동-320,1,경기도 부천시 은성로 88,경기도 부천시 경기도 부천시 소사구 소사본3동 244-83,37.47499153,126.8005313,2013,,032-625-6262,경기도 부천시청,2020-10-22
경기도 부천시 소사구 역곡3동 116-7,1,,경기도 부천시 경기도 부천시 소사구 역곡3동 116-7,,,2014,,032-625-6877,경기도 부천시청,2020-10-22
계수동 10-1 앞,1,,경기도 부천시 계수동 10-1 앞,,,1987,,032-625-6494,경기도 부천시청,2020-10-22
